"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGD38821262",19.4142964501859,-0.0855498572500776,0.265464936971044,-0.322264244107722,0.747252518426618,0.803693737735791
"PGD38821264",23.4610573169218,-0.796683573826548,0.203401027548341,-3.91681194254148,8.97276886328365e-05,0.000243404334145796
"PGD38821266",111.353319856477,-3.56161826448767,0.16257861367314,-21.907052742178,2.22524497732171e-106,1.8828995961953e-104
"PGD38821270",17.5087044192345,0.0780155781468369,0.277946643508041,0.280685447977284,0.778951671077579,0.828671990508063
"PGD38821276",335.744035448359,0.66107126614215,0.179825318241867,3.67618571514498,0.000236747202375151,0.000610960522258454
"PGD38821278",92.1681455992669,-0.680443354012172,0.124178549857058,-5.47955629048198,4.26393779747568e-08,1.60490387586767e-07
"PGD38821280",7.75323015819566,0.188905763102115,0.434364652406738,0.434901325546224,0.663634052403545,0.734958427026327
"PGD38821282",97.7212190418785,0.580611759341583,0.126299215398147,4.59711295522506,4.28385404940328e-06,1.34539313471623e-05
"PGD38821284",53.317839075056,1.2150323830277,0.182679967997869,6.65115281299957,2.90806150292635e-11,1.37143307747867e-10
"PGD38821286",25.7599549280739,0.120698435523856,0.301855084935655,0.399855564962852,0.689262902074895,0.756675840601183
"PGD38821288",33.0995845313363,-0.217064994769293,0.201266545103495,-1.07849516002609,0.280812840535118,0.368279135128024
"PGD38821290",35.6971755115263,-0.239150885311284,0.182937966583436,-1.3072785806997,0.191118115987798,0.267638354661462
"PGD38821292",59.5877157692714,-0.32439503339562,0.154062018811122,-2.10561328417567,0.0352379577897142,0.0610181087267778
"PGD38821294",259.088988299938,-0.452633919180864,0.103055822962931,-4.3921236681956,1.12248816645081e-05,3.36440594849015e-05
"PGD38821298",23.3009961403724,-1.37649654153488,0.238316694715207,-5.77591319475045,7.65368271461097e-09,3.04486473275663e-08
"PGD38821300",22.0866115321953,-0.999779468024421,0.240474743043673,-4.15752380216849,3.21715764664183e-05,9.16806583239899e-05
"PGD38821302",224.380643341217,-1.69058747944845,0.154099750508324,-10.970734695363,5.2841269607066e-28,5.47062555931977e-27
