"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGD38821096",177.705394973361,-0.84026280470525,0.105760271494665,-7.94497586693162,1.94228595144264e-15,1.9125751846055e-14
"PGD38821098",122.551178961178,-0.558007987527635,0.129685507372697,-4.30277830447162,1.68669601625386e-05,6.44921978555221e-05
"PGD38821100",149.303300575568,-0.661916383790193,0.139943503661861,-4.72988289181006,2.24649386100652e-06,9.48984135408532e-06
"PGD38821104",59.8164490989065,0.964875562533605,0.14926279624266,6.46427366244021,1.01786521473796e-10,6.7643338538749e-10
"PGD38821106",374.912248354881,-1.36838606810409,0.090163464705787,-15.1767245476788,5.04345373824311e-52,2.41693510811584e-50
"PGD38821108",71.7373834987191,-1.06367538657418,0.126838367535568,-8.38606966678206,5.02665526657802e-17,5.57325556934473e-16
"PGD38821112",948.404321224407,-2.16955975299515,0.165558832025785,-13.1044639929403,3.1044771332701e-39,9.04703369986077e-38
"PGD38821114",415.772568331551,-0.433700571471939,0.0823954138170669,-5.26364941178443,1.41223636041155e-07,7.04974007228588e-07
"PGD38821116",201.260586069415,-0.367326028217916,0.0814683461282956,-4.50881901590901,6.51894890169757e-06,2.62278233330426e-05
"PGD38821118",149.049799718329,-0.559168586948521,0.0950019458453331,-5.88586456806758,3.95978478808928e-09,2.29859378075761e-08
"PGD38821120",351.015157777738,-0.426508829333607,0.0890763125080257,-4.78812848584386,1.68343859844487e-06,7.21736647623533e-06
"PGD38821122",9.15980301238266,-0.264889713417022,0.33565885417086,-0.789163491817752,0.430016456826965,0.545649008030214
"PGD38821128",69.559410999754,-0.0941011473134288,0.135118607189934,-0.696433668688965,0.486157284019091,0.598838640679505
"PGD38821130",184.92343522947,-0.136614032030019,0.16270233255417,-0.839656259903556,0.401101145161643,0.517135636805467
"PGD38821132",257.40989093497,-0.210535500455893,0.126211232128631,-1.66812015781068,0.0952918763491238,0.15954730694634
"PGD38821138",111.685854917238,-0.446123164517375,0.145088199273349,-3.07484114319228,0.00210614701043814,0.00554567280587282
"PGD38821140",25.5458968368835,1.34237245026075,0.2302852490377,5.82917254088207,5.57028867010391e-09,3.17786442250769e-08
"PGD38821142",7642.96362511607,0.960021566592057,0.119104258225553,8.06034629571362,7.6078617428049e-16,7.72063710511e-15
"PGD38821144",16.9845918086958,-0.196487886793024,0.274179029668203,-0.71664082782262,0.473595745597037,0.587128039885031
"PGD38821146",3.46464500641374,-0.442333604408514,0.575623705685127,-0.76844230013431,0.442224457895822,0.558479709837729
"PGD38821148",105.793096428944,0.700350433557272,0.182877426407957,3.82961663073141,0.000128343044982256,0.000425148658224633
"PGD38821150",31.0189919857418,0.0459249955563287,0.205907375560687,0.223037156543202,0.823506588050725,0.881335958874138
"PGD38821152",21.3454572786426,-0.502148621260476,0.274056912489172,-1.83227861942842,0.0669099208263574,0.118465717784926
"PGD38821154",33.1946192349217,-0.735075160950778,0.252570718632795,-2.91037363685647,0.00360996909933179,0.00909982275009818
"PGD38821156",135.799493122047,0.707427309772336,0.157357504412763,4.49566935121626,6.93514350713437e-06,2.77727706093505e-05
"PGD38821160",10.2856252195829,0.109819756586339,0.350501319207407,0.31332194935721,0.75403607590097,0.827731635368003
"PGD38821162",19.4183103245426,0.958158215139545,0.375786798699335,2.54973889039184,0.0107803625405292,0.0244661193203564
"PGD38821164",18.0724616513564,-0.0721500153993009,0.268286931499599,-0.268928549728516,0.787984666514055,0.852414814816935
"PGD38821170",22.9580549873699,0.122957814772725,0.349530003342931,0.351780429710604,0.725002936463329,0.80508178809638
"PGD38821172",17.781866327529,0.33937228192103,0.255039513633528,1.33066549996908,0.183299099776075,0.274598477712474
"PGD38821174",60.3891308387324,-0.337040682501604,0.148857997774721,-2.26417584234658,0.0235633017744803,0.0483319120233135
"PGD38821176",174.166850844709,-0.0623368660815435,0.143248161211912,-0.435166954704056,0.663441246792245,0.756719859384764
"PGD38821178",43.2170326935652,-0.0747039832114718,0.174343321978677,-0.428487781256161,0.668296027545912,0.760517352719134
"PGD38821180",10.2758163582464,-0.189875238605826,0.321568695389436,-0.590465556281459,0.554878571159428,0.660919988238225
"PGD38821182",117.916258930869,0.174978024814659,0.223947346735371,0.781335556618242,0.43460516266731,0.550499872711927
"PGD38821184",13.1648684765812,0.425196298620804,0.305656098790527,1.39109378253303,0.164196990024224,0.25077252761136
"PGD38821186",13.7977613559122,0.123217078792647,0.282648888568134,0.435936894770224,0.662882515556143,0.756552603755926
"PGD38821188",29.2992364357442,0.658294480033573,0.210828706147541,3.12241388785496,0.00179374571257618,0.00478739186778531
"PGD38821190",5.46866423001326,-0.298617874711143,0.438463840754494,-0.68105473463283,0.495836857460142,0.606335232839692
"PGD38821192",5.68763513742519,-1.331864538976,0.433026826372696,-3.07570907357526,0.00210002639946235,0.0055329345515462
"PGD38821194",114.800807070912,-1.45909119655444,0.285271078055514,-5.11475333041122,3.14151214594181e-07,1.48602568805304e-06
"PGD38821196",102.419938866377,0.234800280739286,0.12955544201362,1.81235366951704,0.0699315667253508,0.123007686495285
"PGD38821198",56.6776437287638,1.0675527646276,0.200776370847031,5.31712352466493,1.05420504777707e-07,5.30546834429696e-07
"PGD38821200",40.4546253022126,-0.31691409323663,0.202436661492898,-1.56549752845903,0.11746629644842,0.190034559858228
"PGD38821202",46.5114417647844,-0.621247620444143,0.153702244173978,-4.0418903691539,5.30220222056834e-05,0.000186680801447439
"PGD38821204",40.7635763102487,1.22435438201406,0.200038352805049,6.12059819952263,9.32247091762742e-10,5.71133765166578e-09
"PGD38821206",20.5457218878661,0.878500907514586,0.268455350967702,3.27242837346266,0.00106627885973785,0.0029804670914124
"PGD38821212",30.8451771242031,0.122489613239183,0.214293418788187,0.571597643697379,0.567594592154085,0.672906947762663
"PGD38821214",77.4363100730034,-0.492202230654799,0.159226692920237,-3.09120425493835,0.00199346454259994,0.0052812116537061
"PGD38821216",163.598076434387,-1.21207341893883,0.148876529342387,-8.14146745825394,3.90515505948253e-16,4.08809072124955e-15
"PGD38821218",77.6061974393855,-1.18684255694739,0.13551894172915,-8.75776140075999,1.99166199097058e-18,2.42656445397065e-17
"PGD38821220",189.352945288687,-0.916256001523064,0.127107693703775,-7.20850150627705,5.65709461208905e-13,4.552061392153e-12
"PGD38821224",80.8487089049734,-0.223619457045164,0.12502956381223,-1.78853264961395,0.073690112943497,0.128466231659378
"PGD38821226",89.5832823655263,-0.735758371029819,0.107373558587827,-6.85232361399291,7.26599513196179e-12,5.28469426714186e-11
"PGD38821228",35.9844181960488,-0.554347612996279,0.203633100289483,-2.7222863680228,0.00648319355504649,0.0153721901060558
"PGD38821230",64.6164411424208,-0.788413918806002,0.145533587336379,-5.41740180556192,6.04713407250823e-08,3.10861612094493e-07
"PGD38821232",33.7345053845215,-1.70184350794207,0.180146641001335,-9.44698995486385,3.48714235451213e-21,4.94738321546409e-20
"PGD38821236",51.1076403304091,-0.421228782112928,0.156998057735445,-2.6830190652596,0.00729608308504378,0.0170650793632287
"PGD38821238",14.4450522535763,0.710914316490041,0.312986845686128,2.2713872045695,0.0231235483140464,0.0476047082952182
"PGD38821240",99.0509312801825,-0.318638686990859,0.118155070377493,-2.69678386185918,0.00700126969722908,0.0164379293435759
"PGD38821242",55.1055909573852,-0.485227779094931,0.212909391916316,-2.27903416907813,0.0226650342154304,0.0467500203592308
"PGD38821246",38.0928776546291,-1.08176687488561,0.182652175805931,-5.9225512650613,3.16984942416122e-09,1.86261043139065e-08
"PGD38821248",119.434775666421,0.391577393154923,0.117566317413161,3.33069370352742,0.000866298673558202,0.00245974073670607
"PGD38821250",62.3983617102185,-0.398943948305364,0.146158736145611,-2.72952516439329,0.00634256081825214,0.0150885078925105
"PGD38821252",50.8076391098098,-0.410570232184287,0.150881051554247,-2.72115171491016,0.00650548970412131,0.0154081148236547
"PGD38821254",23.2032554241774,-0.228664968893445,0.232911881190807,-0.981766012641135,0.326215135666949,0.441608876375251
"PGD38821256",116.363488076379,0.566195684932208,0.141345671078986,4.00575186074012,6.1820521824718e-05,0.000215896283910938
"PGD38821258",24.495786677238,-0.0673462724556864,0.193038005990937,-0.348875715483967,0.72718261732478,0.806464034076055
"PGD38821260",17.2824918238202,-0.227503160333337,0.248971063474035,-0.913773501060144,0.360835873183336,0.476219437282658
"PGD38821262",19.4142964501859,-0.0345979353197635,0.244865202541891,-0.141293801490004,0.887637846185937,0.925848133155973
"PGD38821264",23.4610573169218,-1.1683831052131,0.192423371306774,-6.07193968839879,1.26374398555014e-09,7.63379245052905e-09
"PGD38821266",111.353319856477,-3.12844344577858,0.131742406623027,-23.7466699293754,1.18932503375297e-124,2.8497549280981e-122
"PGD38821270",17.5087044192345,-0.133415869224395,0.262110969904432,-0.50900528609329,0.610748518881191,0.712705184506108
"PGD38821276",335.744035448359,0.352428592272261,0.171489486205034,2.05510320236715,0.0398690376896216,0.0758848894772013
"PGD38821278",92.1681455992669,-0.818738509220917,0.115001474487195,-7.1193740156095,1.08418336141453e-12,8.47116456119721e-12
"PGD38821280",7.75323015819566,0.568897502352465,0.395080963274492,1.43995169404609,0.149881066261114,0.232364140468793
"PGD38821282",97.7212190418785,0.77854645395546,0.117346670235548,6.6345849643002,3.254168626386e-11,2.23847357027158e-10
"PGD38821284",53.317839075056,0.380316267324481,0.179374641367545,2.12023430081847,0.0339862910952373,0.0663871709663762
"PGD38821286",25.7599549280739,1.91944990517834,0.26225765794005,7.31894702429284,2.49924228085649e-13,2.04539505831766e-12
"PGD38821288",33.0995845313363,-0.216866359433164,0.185798851987691,-1.16721043813301,0.243125396585174,0.34721848856684
"PGD38821290",35.6971755115263,-0.864054789320746,0.178103784414847,-4.8514117325444,1.22585764156017e-06,5.3405293010596e-06
"PGD38821292",59.5877157692714,-0.382649708937571,0.142727760765222,-2.68097605459532,0.00734077685348378,0.0171510133093584
"PGD38821294",259.088988299938,-0.168571705353366,0.0951684288470282,-1.77129860601486,0.0765110591521012,0.132569381153393
"PGD38821298",23.3009961403724,-0.902483331789082,0.202136879850393,-4.46471387337646,8.01758246821094e-06,3.18414670215412e-05
"PGD38821300",22.0866115321953,-0.416763560545903,0.203578390278754,-2.04718958616011,0.0406394735261004,0.077011445218836
"PGD38821302",224.380643341217,0.321511481248609,0.135566502635565,2.37161448439005,0.017710559011275,0.0378521511474872
"PGD38821304",13.0474594869362,-0.414151646888343,0.291328688163651,-1.42159582531638,0.155143617401829,0.239404086530979
"PGD38821306",385.315079781219,0.998440584985522,0.139048510818089,7.18051979925002,6.9446871174083e-13,5.53649455404473e-12
"PGD38821308",150.876163554197,1.92095042836721,0.15850444401577,12.1192212640807,8.35492133943679e-34,2.07096412281557e-32
"PGD38821310",118.441197307133,1.70794541747054,0.19102916438953,8.94075741224437,3.8651201230107e-19,4.83196031610004e-18
"PGD38821312",39.1074716025003,1.56155127778301,0.297174503391669,5.25466101553444,1.48297356716255e-07,7.37723759535416e-07
"PGD38821314",61.2772386182198,1.78876359690693,0.232063648464989,7.70807323223133,1.27731450544668e-14,1.18474354021323e-13
"PGD38821316",40.7005413576177,1.85863172154664,0.328468268211726,5.65848181215666,1.52717896675331e-08,8.34819123397595e-08
"PGD38821318",34.012633160325,1.2210513372492,0.35705120047374,3.41982140272625,0.00062662260775443,0.00183477481822461
"PGD38821322",30.7168228339405,1.20417748685089,0.315835145830181,3.81267728670817,0.000137469555824619,0.0004542624075555
"PGD38821328",230.968960653265,-0.315634399269704,0.124038584026396,-2.54464690763106,0.0109388287400304,0.0247919959830537
"PGD38821330",66.0597184647784,-0.554293559832011,0.143433676332737,-3.86445898901846,0.000111335693384326,0.000372294096308239
"PGD38821334",52.6392978168997,-0.345032401141729,0.1599011619251,-2.15778545313727,0.0309445164014763,0.0612780988244111
