"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGD38821096",177.705394973361,0.105602393695622,0.105168324564816,1.00412737516359,0.315317221959743,0.476879113943422
"PGD38821098",122.551178961178,0.472607303785846,0.133202664078195,3.54803191855389,0.000388121184041146,0.0017130165347994
"PGD38821100",149.303300575568,-0.220558125932893,0.138726761837432,-1.58987439057618,0.111863121287317,0.216982538530162
"PGD38821104",59.8164490989065,-0.0326819069416123,0.164695844981799,-0.198437956617691,0.842702422776633,0.904330467682959
"PGD38821106",374.912248354881,0.870444518094378,0.0906648549000632,9.60068285615015,7.94165178527801e-22,1.91280355856839e-20
"PGD38821108",71.7373834987191,0.781403031773792,0.130825006554116,5.9728873887009,2.33090803319985e-09,2.41395021128682e-08
"PGD38821112",948.404321224407,-0.236971831945922,0.163907268858263,-1.44576768069292,0.148242373908726,0.270026623174279
"PGD38821114",415.772568331551,0.569875877578389,0.0846672232023117,6.73077320862024,1.68763840332197e-11,2.1297592425156e-10
"PGD38821116",201.260586069415,0.493711270180582,0.0858941715976622,5.74790187736114,9.03576468876957e-09,8.65585185526449e-08
"PGD38821118",149.049799718329,0.530374752551948,0.0991897447561413,5.3470724605238,8.93882372137748e-08,7.50540677004105e-07
"PGD38821120",351.015157777738,1.04020001212085,0.0932296106532948,11.1573995089304,6.58908090605925e-29,2.29528727430081e-27
"PGD38821122",9.15980301238266,0.567003001320066,0.367637004897173,1.5422903401105,0.123003055295515,0.233732791573281
"PGD38821128",69.559410999754,-0.0603551833548229,0.139971867941926,-0.431195098288351,0.666326517732356,0.783421554321305
"PGD38821130",184.92343522947,-1.74220109100173,0.158658429466227,-10.9808290480563,4.72566824386868e-28,1.56840091715799e-26
"PGD38821132",257.40989093497,0.66767297557299,0.129695108856799,5.1480197014229,2.6325084847673e-07,2.05863140320857e-06
"PGD38821138",111.685854917238,0.0268569780353365,0.146373092297168,0.183483026926911,0.854419035252027,0.912515871254607
"PGD38821140",25.5458968368835,-0.0277634670034973,0.26064190646033,-0.106519582290283,0.915170119376,0.951213325310899
"PGD38821142",7642.96362511607,-0.910931879664437,0.119165775029024,-7.64424080187933,2.10181740811317e-14,3.35574256636251e-13
"PGD38821144",16.9845918086958,-0.519982849715314,0.272223028083664,-1.91013542599895,0.0561157787555354,0.125612324723623
"PGD38821146",3.46464500641374,-0.585745314893273,0.55457034907817,-1.05621462789513,0.290870169218444,0.449685338218152
"PGD38821148",105.793096428944,-0.766723984827182,0.18575555694636,-4.12759648987829,3.66574630749554e-05,0.000195089907652698
"PGD38821150",31.0189919857418,-0.217019343742614,0.212348907545877,-1.02199416164045,0.306783663692644,0.468817955753209
"PGD38821152",21.3454572786426,-0.335006456969536,0.270739123099211,-1.2373773436755,0.215947025957891,0.361627617962857
"PGD38821154",33.1946192349217,-0.496474919999062,0.245467305914051,-2.02257045251028,0.0431174531117614,0.102158552482335
"PGD38821156",135.799493122047,-0.704337596815959,0.160306149070375,-4.39370292967833,1.1143606962267e-05,6.50558218088024e-05
"PGD38821160",10.2856252195829,-0.382295490782053,0.360295551166722,-1.06106081394591,0.288662264736016,0.447649538580687
"PGD38821162",19.4183103245426,-1.59622795577223,0.375806424293948,-4.24747383914783,2.16194400312316e-05,0.000120218917851769
"PGD38821164",18.0724616513564,-0.461771795947589,0.269986016365613,-1.71035449229438,0.087200340813,0.177388724192469
"PGD38821170",22.9580549873699,-0.271931792138689,0.354521967856977,-0.767037918080138,0.443058971330438,0.600287227308839
